0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359
0.463155767,0.739277501,0.764954733,0.777246765,0.790407577,0.804477248,0.818764983,0.833710547,0.84689307,0.859632908,0.870731859,0.881210864,0.88980257,0.897511897,0.903450634,0.90883077,0.912576084,0.915960509,0.918487473,0.919987393,0.921327055,0.922547111,0.923430776,0.924370254,0.925016985,0.925649117,0.926324322,0.926692038,0.927220869,0.927706485,0.928117703,0.928837545,0.929249049,0.929718645,0.930145454,0.930732806,0.931335606,0.931908646,0.932407574,0.932702322,0.933172061,0.933701321,0.934229724,0.935155175,0.935712909,0.9363884,0.937006791,0.937550785,0.93787415,0.938549784,0.938932099,0.939460788,0.939991469,0.940256599,0.940844095,0.941255456,0.941754955,0.942400686,0.942929088,0.94339897,0.943839806,0.94431026,0.94486828,0.945191646,0.945602864,0.945985179,0.946367208,0.946808473,0.947131552,0.947601434,0.947808044,0.948013796,0.948249309,0.948513724,0.948719476,0.966775336,0.967128176,0.967568869,0.968097415,0.968332642,0.968626246,0.969067082,0.969302881,0.969567725,0.969802809,0.970008561,0.97033207,0.970537536,0.970802095,0.971272548,0.971448825,0.971830712,0.972124602,0.972418207,0.972741858,0.973006417,0.973241358,0.973417635,0.973594198,0.973917278,0.974152219,0.974475298,0.974768903,0.975003701,0.975209596,0.975415491,0.97568005,0.975857041,0.97615036,0.976385158,0.976620242,0.976913847,0.977060506,0.977295876,0.977413918,0.977795947,0.978001699,0.978295304,0.978441964,0.978794232,0.979029316,0.979176118,0.979293732,0.979616382,0.979675189,0.97982242,0.979969508,0.980174975,0.980497625,0.980703377,0.980850323,0.9810266,0.981173402,0.981261684,0.981437818,0.981525956,0.981643713,0.981790515,0.981878654,0.981907986,0.982142784,0.982231065,0.982407342,0.982583477,0.982730136,0.982964791,0.983111593,0.983199875,0.983258682,0.983288299,0.983376581,0.983465005,0.983553001,0.983670329,0.983758467,0.983817274,0.983905412,0.983964219,0.984052215,0.984140496,0.984228635,0.984287442,0.984287442,0.984287442,0.984375437,0.984522097,0.984668899,0.984669042,0.984845033,0.984933029,0.985021167,0.985050642,0.985109306,0.985138781,0.985168113,0.985197588,0.985197588,0.985226919,0.985285583,0.985344533,0.985403483,0.985403483,0.985491478,0.985491478,0.98552081,0.985579474,0.985579474,0.985609092,0.985667755,0.985667898,0.985667898,0.985726562,0.985756037,0.985756037,0.98575618,0.98575618,0.985814844,0.985902839,0.985932171,0.985961503,0.985990835,0.986020167,0.98607883,0.98607883,0.98607883,0.98607883,0.986108162,0.986108162,0.986108162,0.986137494,0.986137494,0.986137494,0.986137494,0.986137494,0.986137494,0.986137494,0.986137494,0.986166826,0.986166826,0.986196158,0.986196158,0.98622549,0.986254822,0.986284154,0.986284297,0.986284297,0.986284297,0.986284297,0.986284297,0.986284297,0.999912004,0.999941336,0.999941336,0.999941336,0.999941336,0.999941336,0.999941336,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,0.999970668,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.498197794,0.717551077,0.738260762,0.748378528,0.759201555,0.770635489,0.782142308,0.794254007,0.805137085,0.815616922,0.824733268,0.833533599,0.840649314,0.847070328,0.8520825,0.85642445,0.859537162,0.862326511,0.864387391,0.865660674,0.866829729,0.867883417,0.868684449,0.869440467,0.870032658,0.870540894,0.871080428,0.871359854,0.871817475,0.87223147,0.872579179,0.8731267,0.873499066,0.873864746,0.874223784,0.874711706,0.875198628,0.875627251,0.876014245,0.876350668,0.876728677,0.877223284,0.87764392,0.878365296,0.878807247,0.879371438,0.879869689,0.880301655,0.880597751,0.881182488,0.881545868,0.881991161,0.882450127,0.88274058,0.883240829,0.883600867,0.884037174,0.884543067,0.884963704,0.885354041,0.88574772,0.886187371,0.886653978,0.886950074,0.887297783,0.887661163,0.887999886,0.888430551,0.88870199,0.889092327,0.88935248,0.889538663,0.889783145,0.890011955,0.890202762,0.925989075,0.926318812,0.926700164,0.927133129,0.927352954,0.92759075,0.92798443,0.928253569,0.928519365,0.928726862,0.928913044,0.929221468,0.929382994,0.929624134,0.930063784,0.930224542,0.930550937,0.930818014,0.93105581,0.931376562,0.931617702,0.93181287,0.931965411,0.932142608,0.932414047,0.932609215,0.932880654,0.933118451,0.933301291,0.933499802,0.933698313,0.933939452,0.934153635,0.934366774,0.934549615,0.934757111,0.934994908,0.935101478,0.935333631,0.935480529,0.935819252,0.936005435,0.936243232,0.936349802,0.936630226,0.936837723,0.936956621,0.937066534,0.937300988,0.937355944,0.937511827,0.937655382,0.937816908,0.938051362,0.938237545,0.938368772,0.938521312,0.93864021,0.938728809,0.938869021,0.938945292,0.939067533,0.939186431,0.939262701,0.939284015,0.939466855,0.939555454,0.939707994,0.939848207,0.939954777,0.940125288,0.940244187,0.940332785,0.940387742,0.940433712,0.940522311,0.940623238,0.94068718,0.940772436,0.940848706,0.940903662,0.940979933,0.941034889,0.941098831,0.941187429,0.9412637,0.941318656,0.941318656,0.941318656,0.941382598,0.941489168,0.941608066,0.941620394,0.941748278,0.94181222,0.94188849,0.941922133,0.941964761,0.941998403,0.942019717,0.942053359,0.942053359,0.942074673,0.942117301,0.942184586,0.942251871,0.942251871,0.942315813,0.942315813,0.942337127,0.942379755,0.942379755,0.942425725,0.942468353,0.942480681,0.942480681,0.942523309,0.942556952,0.942556952,0.94256928,0.94256928,0.942611908,0.94267585,0.942697164,0.942718478,0.942739792,0.942761106,0.942803734,0.942803734,0.942803734,0.942803734,0.942825048,0.942825048,0.942825048,0.942846362,0.942846362,0.942846362,0.942846362,0.942846362,0.942846362,0.942846362,0.942846362,0.942867676,0.942867676,0.94288899,0.94288899,0.942910304,0.942931618,0.942952932,0.94296526,0.94296526,0.94296526,0.94296526,0.94296526,0.94296526,0.999936058,0.999957372,0.999957372,0.999957372,0.999957372,0.999957372,0.999957372,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,0.999978686,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.586756844,0.71684601,0.729893766,0.736822583,0.744159268,0.751612732,0.758860169,0.766655348,0.774158577,0.781317282,0.787516109,0.793980201,0.798947342,0.803534723,0.807275764,0.810018976,0.812224942,0.814142627,0.815493822,0.816460978,0.817426645,0.818245938,0.818977702,0.819451537,0.820005624,0.820323153,0.820652608,0.820786915,0.821155773,0.821475792,0.821736142,0.821997411,0.822335931,0.822533522,0.82279784,0.823141334,0.823450435,0.823636024,0.823841561,0.824305117,0.824542034,0.825026939,0.825279267,0.8256724,0.825931709,0.826339816,0.826653366,0.826909661,0.827187428,0.827633896,0.828003795,0.828332845,0.82870169,0.82908106,0.829464363,0.829763557,0.830123986,0.830405204,0.830657048,0.830933774,0.83128024,0.831711857,0.832049335,0.832327102,0.832587935,0.832958317,0.833250047,0.833712561,0.833913124,0.834189367,0.83459217,0.834760948,0.835056132,0.835241767,0.835410545,0.884791356,0.885114466,0.885421606,0.885712294,0.885928826,0.886083082,0.886428583,0.886800007,0.887101207,0.887277448,0.887446708,0.887762836,0.887854409,0.888077923,0.888509057,0.88863201,0.888885379,0.889115391,0.889267717,0.889622206,0.889846202,0.889984082,0.890106552,0.890307192,0.89050679,0.890645635,0.890845715,0.890998041,0.891097078,0.891305181,0.891513284,0.891735833,0.892053485,0.892129089,0.892228126,0.892405332,0.892558622,0.892596907,0.892852283,0.893076838,0.89336905,0.89353831,0.893691118,0.893728437,0.893895691,0.894071932,0.894148577,0.894257084,0.894339187,0.89439344,0.894586134,0.894739983,0.894831074,0.894913659,0.895082436,0.895198407,0.89532136,0.895397522,0.895497601,0.895582193,0.89564391,0.895790296,0.895866459,0.895927694,0.895935157,0.896033712,0.896134273,0.896256743,0.896340852,0.896378654,0.896438364,0.896514527,0.896614606,0.896668377,0.896753528,0.896854089,0.896993011,0.897015402,0.897045258,0.897106493,0.897160746,0.897221981,0.897275752,0.897298144,0.897398705,0.89745994,0.897514194,0.897514194,0.897514676,0.89753755,0.897575352,0.897651997,0.897690841,0.897736107,0.897758498,0.897819733,0.89786604,0.897880968,0.897927275,0.897934739,0.897981529,0.897981529,0.897988993,0.898003921,0.898096535,0.89818915,0.89818915,0.898211541,0.898211541,0.898219005,0.898233933,0.898233933,0.898319084,0.898334012,0.898372855,0.898372855,0.898388265,0.898434573,0.898434573,0.898473416,0.898473416,0.898488344,0.898510735,0.898518199,0.898525663,0.898533127,0.898540591,0.898555518,0.898555518,0.898555518,0.898555518,0.898562982,0.898562982,0.898562982,0.898570446,0.898570446,0.898570446,0.898570929,0.898570929,0.898570929,0.898570929,0.898570929,0.898578392,0.898578392,0.898585856,0.898585856,0.89859332,0.898601267,0.89860873,0.898647574,0.898647574,0.898647574,0.898647574,0.898647574,0.898647574,0.999977126,0.99998459,0.99998459,0.99998459,0.99998459,0.99998459,0.99998459,0.999992054,0.999992054,0.999992054,0.999992054,0.999992054,0.999992054,0.999992054,0.999992054,0.999992536,0.999992536,0.999992536,0.999992536,0.999992536,0.999992536,0.999992536,0.999992536,0.999992536,0.999992536,0.999992536,0.999992536,0.999992536,0.999992536,0.999992536,0.999992536,0.999992536,0.999992536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
